,,,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Households,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject: Household Income,,,,,,,,,,,,,,,,,,,,,,,,,,
Topic: Key Indicators On Household Income,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Key Indicators On Household Employment Income Among Resident Employed Households, Annual",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 09/02/2026,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Series,2025 ,2024 ,2023 ,2022 ,2021 ,2020 ,2019 ,2018 ,2017 ,2016 ,2015 ,2014 ,2013 ,2012 ,2011 ,2010 ,2009 ,2008 ,2007 ,2006 ,2005 ,2004 ,2003 ,2002 ,2001 ,2000 
  8th Decile (Per Cent),5.5,0.9,0.8,2.5,1.4,-2,4.6,4,3.8,4.3,5.7,4.6,2.4,1.1,1.8,3.5,-3.4,5.6,6.7,3.5,4.7,-2.7,1.2,-1.8,12,na
  9th Decile (Per Cent),4.2,1.9,-0.2,1,0.6,-1.8,3.6,4,4.5,3.3,5.9,5.6,1.5,1.5,1,4,-3.1,5.6,6.3,4.6,5,-0.4,1.6,-1.2,13.9,na
  10th Decile (Highest) (Per Cent),1.4,3.2,-1.9,-1.3,-1.1,-2.3,0.4,2.3,2.6,0.3,7.3,6.6,-5.2,5.1,3.2,4.8,-2.6,1.1,11,7.3,6.2,1.4,2.5,-1.6,12.4,na
Annualised Real Change In Average Monthly Household Employment Income Per Household Member Among Resident Employed Households (Dollar),1.8,0.5,0.7,1.3,1.7,1.9,3.7,4.2,3.5,3.4,3.4,3,1.2,2.1,3,3.4,3.5,3.8,3.2,1.4,2.4,na,na,na,na,na
  Annualised Real Change In Average Monthly Household Employment Income Per Household Member Among Resident Employed Households In The 1st - 40th Percentiles (Dollar),3.6,1.6,2.2,2.5,2.3,2,4,4.4,4.3,4.1,4.2,3.7,2,2.4,2.9,2.9,2.3,2.7,1.6,0.3,0.4,na,na,na,na,na
Gini Coefficient Based On Household Employment Income Per Household Member (Including Employer CPF Contributions) Before Accounting For Government Transfers And Taxes,0.426,0.435,0.433,0.437,0.444,0.452,0.452,0.458,0.459,0.458,0.463,0.464,0.463,0.478,0.473,0.472,0.471,0.474,0.482,0.47,0.465,0.46,0.457,0.454,0.454,0.442
Gini Coefficient Based On Equivalised Household Employment Income (Including Employer CPF Contributions) Before Accounting For Government Transfers And Taxes (Based On Modified OECD Scale),0.405,0.415,0.412,0.415,0.42,0.431,0.431,0.435,0.437,0.435,0.44,0.444,0.442,0.457,0.452,0.448,0.449,0.452,0.456,0.446,0.44,0.438,0.434,0.432,0.431,0.417
Gini Coefficient Based On Equivalised Household Employment Income (Including Employer CPF Contributions) Before Accounting For Government Transfers And Taxes (Based On Square Root Scale),0.385,0.396,0.394,0.398,0.398,0.415,0.411,0.412,0.417,0.41,0.415,0.425,0.421,0.435,0.434,0.432,0.431,0.438,0.438,0.434,0.43,0.43,0.427,0.424,0.422,0.413
Gini Coefficient Based On Household Employment Income Per Household Member (Including Employer CPF Contributions) After Accounting For Government Transfers And Taxes,0.359,0.364,0.371,0.378,0.385,0.375,0.398,0.403,0.402,0.401,0.409,0.411,0.409,0.432,0.423,0.425,0.422,0.424,0.439,0.418,0.422,0.419,0.422,0.414,0.419,0.414
Gini Coefficient Based On Equivalised Household Employment Income (Including Employer CPF Contributions) After Accounting For Government Transfers And Taxes (Based On Modified OECD Scale),0.339,0.344,0.352,0.357,0.362,0.354,0.377,0.381,0.382,0.379,0.386,0.392,0.388,0.41,0.402,0.4,0.399,0.402,0.412,0.392,0.397,0.395,0.397,0.388,0.394,0.386
Gini Coefficient Based On Equivalised Household Employment Income (Including Employer CPF Contributions) After Accounting For Government Transfers And Taxes (Based On Square Root Scale),0.318,0.326,0.331,0.337,0.336,0.336,0.353,0.354,0.357,0.351,0.357,0.369,0.363,0.383,0.38,0.379,0.377,0.384,0.389,0.374,0.38,0.381,0.385,0.377,0.381,0.377
,,,,,,,,,,,,,,,,,,,,,,,,,,
Definitions and Footnotes:,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data refer to resident employed households. A resident employed household refers to a household where the household reference person is a resident (i.e. Singapore citizen or permanent resident), and with at least one employed person. Household employment income refers to the sum of income received by employed members of the household from employment and business, excluding the income of live-in domestic workers. Monthly household employment income includes employer Central Provident Fund (CPF) contributions and one-twelfth of annual bonus. Data on household employment income refers to household employment income before accounting for Government transfers and taxes, unless stated otherwise.",,,,,,,,,,,,,,,,,,,,,,,,,,
Real Change In Median Monthly Household Employment Income Including Employer CPF Contributions (Per Cent):,,,,,,,,,,,,,,,,,,,,,,,,,,
The Consumer Price Index (CPI) for All Items for the relevant household income group was used as the deflator to compute real income changes.,,,,,,,,,,,,,,,,,,,,,,,,,,
Median Monthly Household Employment Income Per Household Member (Including Employer CPF Contributions) (Dollar):,,,,,,,,,,,,,,,,,,,,,,,,,,
"Household employment income per household member refers to the household employment income divided by the total number of members in the household.  For example, if there is one employed person in a household of four, his income is divided by four to derive the income per household member.",,,,,,,,,,,,,,,,,,,,,,,,,,
Real Change In Median Monthly Household Employment Income Per Household Member (Including Employer CPF Contributions) (Per Cent):,,,,,,,,,,,,,,,,,,,,,,,,,,
The Consumer Price Index (CPI) for All Items for the relevant household income group was used as the deflator to compute real income changes.,,,,,,,,,,,,,,,,,,,,,,,,,,
Monthly Household Employment Income Per Household Member (Including Employer CPF Contributions) At 20th Percentile (Dollar):,,,,,,,,,,,,,,,,,,,,,,,,,,
"Household employment income per household member refers to the household employment income  divided by the total number of members in the household.  For example, if there is one employed person in a household of four, his income is divided by four to derive the income per household member.",,,,,,,,,,,,,,,,,,,,,,,,,,
Real Change In Monthly Household Employment Income Per Household Member (Including Employer CPF Contributions) At 20th Percentile (Per Cent):,,,,,,,,,,,,,,,,,,,,,,,,,,
The Consumer Price Index (CPI) for All Items for the relevant household income group was used as the deflator to compute real income changes.,,,,,,,,,,,,,,,,,,,,,,,,,,
Average Monthly Household Employment Income Per Household Member (Including Employer CPF Contributions) (Dollar):,,,,,,,,,,,,,,,,,,,,,,,,,,
"Household employment income per household member refers to the household employment income divided by the total number of members in the household.  For example, if there is one employed person in a household of four, his income is divided by four to derive the income per household member.  The deciles are derived based on the ranking of resident employed households by their monthly household employment income per household member (including employer CPF contributions).  It is notable that some resident employed households in the lowest 10% owned a car (15.3%), employed a domestic worker (19.3%), lived in private property (10.0%) or were with household reference persons aged 65 years and over (38.2%) in 2025.  Not all households are consistently in the same decile group from one year to the next.  For example, a household may move from a higher to a lower decile in a particular year due to reduced income if a household member is temporarily unemployed, before moving up the deciles when the member resumes employment in the subsequent year.  In comparing the performance of any particular decile group over time, it is therefore relevant to note that the comparison may not pertain to the same group of households.",,,,,,,,,,,,,,,,,,,,,,,,,,
Real Change In Average Monthly Household Employment Income Per Household Member (Including Employer CPF Contributions) (Per Cent):,,,,,,,,,,,,,,,,,,,,,,,,,,
"Household employment income per household member refers to the household employment income divided by the total number of members in the household.  For example, if there is one employed person in a household of four, his income is divided by four to derive the income per household member.  The Consumer Price Index (CPI) for All Items for the relevant household income group was used as the deflator to compute real income changes.  The deciles are derived based on the ranking of resident employed households by their monthly household employment income per household member (including employer CPF contributions).  It is notable that some resident employed households in the lowest 10% owned a car (15.3%), employed a domestic worker (19.3%), lived in private property (10.0%) or were with household reference persons aged 65 years and over (38.2%) in 2025.  Not all households are consistently in the same decile group from one year to the next.  For example, a household may move from a higher to a lower decile in a particular year due to reduced income if a household member is temporarily unemployed, before moving up the deciles when the member resumes employment in the subsequent year.  In comparing the performance of any particular decile group over time, it is therefore relevant to note that the comparison may not pertain to the same group of households.",,,,,,,,,,,,,,,,,,,,,,,,,,
Annualised Real Change In Average Monthly Household Employment Income Per Household Member Among Resident Employed Households (Dollar):,,,,,,,,,,,,,,,,,,,,,,,,,,
The annualised real change in average monthly household employment income per household member is calculated over a 5-year period ending in that year (for e.g. figure for 2018 refers to the annualised real change from 2013 to 2018).,,,,,,,,,,,,,,,,,,,,,,,,,,
Annualised Real Change In Average Monthly Household Employment Income Per Household Member Among Resident Employed Households -> Annualised Real Change In Average Monthly Household Employment Income Per Household Member Among Resident Employed Households In The 1st - 40th Percentiles (Dollar):,,,,,,,,,,,,,,,,,,,,,,,,,,
The percentiles are derived based on ranking of resident employed households by their monthly household employment income per household member (including employer CPF contributions).  The annualised real change in average monthly household employment income per household member is calculated over a 5-year period ending in that year (for e.g. figure for 2018 refers to the annualised real change from 2013 to 2018).,,,,,,,,,,,,,,,,,,,,,,,,,,
Gini Coefficient Based On Household Employment Income Per Household Member (Including Employer CPF Contributions) Before Accounting For Government Transfers And Taxes:,,,,,,,,,,,,,,,,,,,,,,,,,,
"Internationally, there are differences in computation methods adopted by different countries, although the basic concept of Gini remains the same.  One major difference is in the equivalence scale adopted.  Equivalence scales take into account economies of scale within the household, and adjust for household size so that households with different sizes and compositions are comparable. There are different scales used by different countries and international organisations. Household employment income per household member refers to the household employment income divided by the total number of members in the household.  For example, if there is one employed person in a household of four, his income is divided by four to derive the income per household member.",,,,,,,,,,,,,,,,,,,,,,,,,,
Gini Coefficient Based On Equivalised Household Employment Income (Including Employer CPF Contributions) Before Accounting For Government Transfers And Taxes (Based On Modified OECD Scale):,,,,,,,,,,,,,,,,,,,,,,,,,,
"Internationally, there are differences in computation methods adopted by different countries, although the basic concept of Gini remains the same.  One major difference is in the equivalence scale adopted.  Equivalence scales take into account economies of scale within the household, and adjust for household size so that households with different sizes and compositions are comparable. There are different scales used by different countries and international organisations.  The modified OECD scale assigns the first adult in the household a weight of 1 point, and each additional adult a weight of 0.5 points and each child a weight of 0.3 points.  Equivalised household income is derived by dividing the total household income by the sum of the points allocated to all the household members.  The modified OECD scale is used by Eurostat, the UK and Australia.",,,,,,,,,,,,,,,,,,,,,,,,,,
Gini Coefficient Based On Equivalised Household Employment Income (Including Employer CPF Contributions) Before Accounting For Government Transfers And Taxes (Based On Square Root Scale):,,,,,,,,,,,,,,,,,,,,,,,,,,
"Internationally, there are differences in computation methods adopted by different countries, although the basic concept of Gini remains the same.  One major difference is in the equivalence scale adopted.  Equivalence scales take into account economies of scale within the household, and adjust for household size so that households with different sizes and compositions are comparable.  There are different scales used by different countries and international organisations. Based on the square root scale, individuals are ranked by their household income on a  per equivalised member basis , which is derived by dividing household income by the square root of household size.  This follows the approach adopted by Organisation of Economic Co-Operation and Development (OECD) in some reports.  In following this approach, individuals such as children and domestic workers would also be ranked.  It is also noted that some OECD countries publish their own Gini using a different equivalence scale, and not the square root scale.",,,,,,,,,,,,,,,,,,,,,,,,,,
Gini Coefficient Based On Household Employment Income Per Household Member (Including Employer CPF Contributions) After Accounting For Government Transfers And Taxes:,,,,,,,,,,,,,,,,,,,,,,,,,,
"Internationally, there are differences in computation methods adopted by different countries, although the basic concept of Gini remains the same.  One major difference is in the equivalence scale adopted.  Equivalence scales take into account economies of scale within the household, and adjust for household size so that households with different sizes and compositions are comparable.  There are different scales used by different countries and international organisations.  Household employment income per household member refers to the household employment income divided by the total number of members in the household.  For example, if there is one employed person in a household of four, his income is divided by four to derive the income per household member.  Data on income after accounting for government transfers and taxes for the latest year are preliminary.  Similar to past practices, as more administrative data on Government transfers or taxes become available, the coverage has been expanded to include more types of transfers.",,,,,,,,,,,,,,,,,,,,,,,,,,
Gini Coefficient Based On Equivalised Household Employment Income (Including Employer CPF Contributions) After Accounting For Government Transfers And Taxes (Based On Modified OECD Scale):,,,,,,,,,,,,,,,,,,,,,,,,,,
"Internationally, there are differences in computation methods adopted by different countries, although the basic concept of Gini remains the same.  One major difference is in the equivalence scale adopted.  Equivalence scales take into account economies of scale within the household, and adjust for household size so that households with different sizes and compositions are comparable.  There are different scales used by different countries and international organisations.  The modified OECD scale assigns the first adult in the household a weight of 1 point, each additional adult a weight of 0.5 points and each child a weight of 0.3 points.  Equivalised household income is derived by dividing the total household income by the sum of the points allocated to all the household members.  The modified OECD scale is used by Eurostat, the UK and Australia.  Data on income after accounting for government transfers and taxes for the latest year are preliminary.  Similar to past practices, as more administrative data on Government transfers or taxes become available, the coverage has been expanded to include more types of transfers.",,,,,,,,,,,,,,,,,,,,,,,,,,
Gini Coefficient Based On Equivalised Household Employment Income (Including Employer CPF Contributions) After Accounting For Government Transfers And Taxes (Based On Square Root Scale):,,,,,,,,,,,,,,,,,,,,,,,,,,
"Internationally, there are differences in computation methods adopted by different countries, although the basic concept of Gini remains the same.  One major difference is in the equivalence scale adopted.  Equivalence scales take into account economies of scale within the household, and adjust for household size so that households with different sizes and compositions are comparable.  There are different scales used by different countries and international organisations.  Based on the square root scale, individuals are ranked by their household income on a 'per equivalised member basis', which is derived by dividing household income by the square root of household size.  This follows the approach adopted by Organisation of Economic Co-Operation and Development (OECD) in some reports.  In following this approach, individuals such as children and domestic workers would also be ranked.  It is also noted that some OECD countries publish their own Gini using a different equivalence scale, and not the square root scale.  Data on income after accounting for government transfers and taxes for the latest year are preliminary.  Similar to past practices, as more administrative data on Government transfers or taxes become available, the coverage has been expanded to include more types of transfers.",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Gini Coefficient:,,,,,,,,,,,,,,,,,,,,,,,,,,
"A summary measure of income inequality. It is equal to zero in the case of total income equality and one in the case of total inequality. The more unequal the income distribution, the larger the value of the Gini coefficient. ",,,,,,,,,,,,,,,,,,,,,,,,,,
Government Transfers :,,,,,,,,,,,,,,,,,,,,,,,,,,
"Government Transfers are unrequited assistance/benefits provided by the Government to households or individuals. These can be in cash or in-kind and can be classified into three categories: 
(i) Regular Government contributions: Recurring cash disbursements, top-ups or rebates (e.g. Workfare Income Supplement, GST Vouchers, Pioneer Generation MediSave Top-ups). 
(ii) Ad-hoc Government contributions: One-off disbursements (e.g. CDC Vouchers, Post-Secondary Education Account Top-ups, One-off Retirement Savings Bonus under the Majulah Package).
(iii) Transfers in kind: Value of in-kind benefits through subsidised services or goods (e.g. Education Subsidies, Centre-Based Infant and Child Care Subsidies). 
Based on international standards and guidelines by the International Labour Organisation (ILO) and United Nations (UN) Expert Group on Household Income, capital housing transfers (e.g. CPF Housing Grant) that are large, lump sum and one-off payments have an effect beyond the year as well as an investment impact, and hence are not within the scope of household income statistics.",,,,,,,,,,,,,,,,,,,,,,,,,,
Household Employment Income:,,,,,,,,,,,,,,,,,,,,,,,,,,
"Refers to the sum of income received by employed members of the household from employment and business excluding the income of live-in domestic workers. Monthly household employment income includes one-twelfth of the annual bonus. Data on household employment income refer to household employment income before accounting for Government transfers and taxes, unless stated otherwise.",,,,,,,,,,,,,,,,,,,,,,,,,,
Modified OECD Scale:,,,,,,,,,,,,,,,,,,,,,,,,,,
"The modified OECD scale assigns the first adult in the household a weight of 1 point, and each additional adult a weight of 0.5 points and each child a weight of 0.3 points. The equivalised household income is derived by dividing the total household income by the sum of the points allocated to the household members.",,,,,,,,,,,,,,,,,,,,,,,,,,
Resident Employed Households:,,,,,,,,,,,,,,,,,,,,,,,,,,
"Refers to households where the household reference person is a Singapore citizen or permanent resident and with at least one employed person. 
A household refers to (i) a group of two or more persons living together in the same house and sharing common food or other essential arrangements for living; or (ii) a person living alone or a person living with others but having his own food or other essential arrangements for living. Although persons may be living in the same house, they may not be members of the same household.",,,,,,,,,,,,,,,,,,,,,,,,,,
Square Root Scale:,,,,,,,,,,,,,,,,,,,,,,,,,,
"Based on the square root scale, individuals are ranked by their household income on a ‘per equivalised member basis’, which is derived by dividing household income by the square root of household size. ",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Notation:,,,,,,,,,,,,,,,,,,,,,,,,,,
na   not available or not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,
nec  not elsewhere classified,,,,,,,,,,,,,,,,,,,,,,,,,,
nes  not elsewhere specified,,,,,,,,,,,,,,,,,,,,,,,,,,
 -     nil or negligible or not significant,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,
Numbers may not add up to the totals due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data are the latest available at the time of access or download. Some statistics, particularly those for the most recent time periods, are provisional and may be subject to revision at a later date.",,,,,,,,,,,,,,,,,,,,,,,,,,
Values are shown in Singapore dollars (unless otherwise specified).,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated by: SingStat Table Builder,,,,,,,,,,,,,,,,,,,,,,,,,,
Date generated: 23/03/2026,,,,,,,,,,,,,,,,,,,,,,,,,,
Contact: info@singstat.gov.sg,,,,,,,,,,,,,,,,,,,,,,,,,,
